Student ID,Academic Level,Interests,Skills,Career Path,Scholarship Name,Scholarship Eligibility,Scholarship Link
25,12Th,"English, Writing",Creativity,Author,Creative Writing Scholarship,"12th grade, Arts stream, >80% marks",https://scholarships.gov.in
26,12Th,"Computer Science, Programming",Problem Solving,Software Developer,Tech Innovators Scholarship,"12th grade, Science stream, >85% marks",https://limeconnect.com/programs/page/google-lime-scholarship
27,12Th,"Economics, Math",Analytical Thinking,Economist,Young Economists Scholarship,"12th grade, Commerce stream, >80% marks",https://ysi.ineteconomics.org/
28,12Th,"Psychology, Empathy",Communication,Psychologist,Mental Health Scholarship,"12th grade, Arts stream, >75% marks",https://www.baerreintegration.org/scholarship
29,12Th,"Geography, Environmental Science",Research,Environmentalist,Green Future Scholarship,"12th grade, Science stream, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/environmental-science
30,12Th,"Art, Design",Creativity,Artist,Art Excellence Scholarship,"12th grade, Arts stream, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/art
31,12Th,"Music, Creativity",Communication,Musician,Music Excellence Scholarship,"12th grade, Arts stream, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/music
32,12Th,"Physical Education, Discipline",Physical Fitness,Athlete,Sports Excellence Scholarship,"12th grade, >75% marks",https://www.ncaa.org/sports/2021/2/8/ncaa-scholarships-and-grants.aspx
33,12Th,"Chemistry, Physics",Research,Chemist,Chemistry Research Grant,"12th grade, Science stream, >85% marks",https://www.acs.org/funding/students/undergraduate-research.html
34,12Th,"Mathematics, Problem Solving",Analytical Thinking,Mathematician,Math Excellence Scholarship,"12th grade, Science stream, >90% marks",https://www.ams.org/programs/edu-support/undergrad/emp-math
35,12Th,"Biology, Chemistry",Research,Biochemist,Biochemistry Research Grant,"12th grade, Science stream, >85% marks",https://www.asbmb.org/education/undergraduate-research/awards
36,12Th,"Computer Science, Programming",Problem Solving,AI Engineer,AI Excellence Scholarship,"12th grade, Science stream, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/artificial-intelligence
37,12Th,"Social Studies, Psychology",Empathy,Social Worker,Social Work Scholarship,"12th grade, Arts stream, >75% marks",https://www.cswe.org/centers-initiatives/minority-fellowship-program/mfp-doctoral/msw-application-information/
38,12Th,"English, Literature",Writing,Author,Creative Writing Scholarship,"12th grade, Arts stream, >80% marks",https://scholarships.gov.in
39,12Th,"Geography, Environmental Science",Research,Geologist,Geology Research Grant,"12th grade, Science stream, >85% marks",https://www.geosociety.org/GSA/Education_Careers/Grants_Scholarships/GSA/grants/home.aspx
40,12Th,"Art, Design",Creativity,Graphic Designer,Design Excellence Scholarship,"12th grade, Arts stream, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/design
41,Bachelor'S,"Computer Science, Programming",Problem Solving,Software Engineer,Tech Innovators Scholarship,"Bachelor's in CS, >80% marks",https://limeconnect.com/programs/page/google-lime-scholarship
42,Bachelor'S,"Civil Engineering, Design",Problem Solving,Civil Engineer,Civil Engineering Excellence Award,"Bachelor's in Civil Eng, >75% marks",https://www.asce.org/education-and-careers/scholarships-awards/scholarships
43,Bachelor'S,"Mechanical Engineering, Innovation",Technical Skills,Mechanical Engineer,Innovators in Engineering Scholarship,"Bachelor's in Mechanical Eng, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/engineering
44,Bachelor'S,"Physics, Math",Critical Thinking,Physicist,Young Scientist Award,"Bachelor's in Physics, >85% marks",https://www.societyforscience.org/isef/
45,Bachelor'S,"Economics, Mathematics","Analytical Thinking, Research",Economist,Economics Research Grant,"Bachelor's in Economics, >80% marks",https://www.aeaweb.org/about-aea/committees/cswep/funding-opportunities
46,Bachelor'S,"Data Science, Machine Learning",Data Analysis,Data Scientist,Data Science Excellence Award,"Bachelor's in Data Science, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/data-science
47,Bachelor'S,"Psychology, Neuroscience","Empathy, Research",Psychologist,Mental Health Scholarship,"Bachelor's in Psychology, >75% marks",https://www.baerreintegration.org/scholarship
48,Bachelor'S,"Law, Social Sciences","Leadership, Communication",Lawyer,Law Excellence Scholarship,"Bachelor's in Law, >70% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/law
49,Bachelor'S,"Naval Architecture, Technical Skills",Leadership,Navy Officer,Naval Excellence Scholarship,"Bachelor's in Naval Arch, >75% marks",https://www.netc.navy.mil/Commands/Naval-Service-Training-Command/NROTC/Scholarships/
50,Bachelor'S,"Aviation, Geography","Leadership, Physical Fitness",Pilot,Aviation Dream Scholarship,"Bachelor's in Aviation, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/aviation
51,Bachelor'S,"History, Geography","Physical Fitness, Discipline",Army Officer,National Defense Scholarship,"Bachelor's in History, >75% marks",https://www.goarmy.com/careers-and-jobs/find-your-path/army-officers/rotc/scholarships.html
52,Bachelor'S,"Environmental Science, Research",Problem Solving,Environmentalist,Green Future Scholarship,"Bachelor's in Environmental Science, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/environmental-science
53,Bachelor'S,"Artificial Intelligence, Machine Learning",Programming,AI Engineer,AI Excellence Scholarship,"Bachelor's in AI, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/artificial-intelligence
54,Bachelor'S,"Business, Economics","Leadership, Analytical Thinking",Business Analyst,Business Leaders Scholarship,"Bachelor's in Business, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/business
55,Bachelor'S,"Marketing, Psychology","Creativity, Communication",Marketing Manager,Marketing Excellence Scholarship,"Bachelor's in Marketing, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/marketing
56,Bachelor'S,"Literature, Writing","Creativity, Communication",Author,Creative Writing Scholarship,"Bachelor's in Literature, >75% marks",https://scholarships.gov.in
57,Bachelor'S,"Education, Psychology","Teaching, Empathy",Educator,Teaching Excellence Scholarship,"Bachelor's in Education, >80% marks",https://studentaid.gov/understand-aid/types/grants/teach
58,Bachelor'S,"Architecture, Design","Creativity, Problem Solving",Architect,Design Innovators Scholarship,"Bachelor's in Architecture, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/design
59,Bachelor'S,"Fashion, Design","Creativity, Communication",Fashion Designer,Fashion Excellence Scholarship,"Bachelor's in Fashion Design, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/fashion
60,Bachelor'S,"Philosophy, Ethics","Research, Critical Thinking",Philosopher,Philosophy Research Grant,"Bachelor's in Philosophy, >75% marks",https://www.apaonline.org/page/grants
61,Master'S,"Computer Science, Programming",Problem Solving,Software Engineer,Tech Innovators Scholarship,"Master's in CS, >80% marks",https://limeconnect.com/programs/page/google-lime-scholarship
62,Master'S,"Civil Engineering, Design",Problem Solving,Civil Engineer,Civil Engineering Excellence Award,"Master's in Civil Eng, >75% marks",https://www.asce.org/education-and-careers/scholarships-awards/scholarships
63,Master'S,"Mechanical Engineering, Innovation",Technical Skills,Mechanical Engineer,Innovators in Engineering Scholarship,"Master's in Mechanical Eng, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/engineering
64,Master'S,"Physics, Math",Critical Thinking,Physicist,Young Scientist Award,"Master's in Physics, >85% marks",https://www.societyforscience.org/isef/
65,Master'S,"Economics, Mathematics","Analytical Thinking, Research",Economist,Economics Research Grant,"Master's in Economics, >80% marks",https://www.aeaweb.org/about-aea/committees/cswep/funding-opportunities
66,Master'S,"Data Science, Machine Learning",Data Analysis,Data Scientist,Data Science Excellence Award,"Master's in Data Science, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/data-science
67,Master'S,"Psychology, Neuroscience","Empathy, Research",Psychologist,Mental Health Scholarship,"Master's in Psychology, >75% marks",https://www.baerreintegration.org/scholarship
68,Master'S,"Law, Social Sciences","Leadership, Communication",Lawyer,Law Excellence Scholarship,"Master's in Law, >70% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/law
69,Master'S,"Naval Architecture, Technical Skills",Leadership,Navy Officer,Naval Excellence Scholarship,"Master's in Naval Arch, >75% marks",https://www.netc.navy.mil/Commands/Naval-Service-Training-Command/NROTC/Scholarships/
70,Master'S,"Aviation, Geography","Leadership, Physical Fitness",Pilot,Aviation Dream Scholarship,"Master's in Aviation, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/aviation
71,Master'S,"History, Geography","Physical Fitness, Discipline",Army Officer,National Defense Scholarship,"Master's in History, >75% marks",https://www.goarmy.com/careers-and-jobs/find-your-path/army-officers/rotc/scholarships.html
72,Master'S,"Environmental Science, Research",Problem Solving,Environmentalist,Green Future Scholarship,"Master's in Environmental Science, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/environmental-science
73,Master'S,"Artificial Intelligence, Machine Learning",Programming,AI Engineer,AI Excellence Scholarship,"Master's in AI, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/artificial-intelligence
74,Master'S,"Business, Economics","Leadership, Analytical Thinking",Business Analyst,Business Leaders Scholarship,"Master's in Business, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/business
75,Master'S,"Marketing, Psychology","Creativity, Communication",Marketing Manager,Marketing Excellence Scholarship,"Master's in Marketing, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/marketing
76,Master'S,"Literature, Writing","Creativity, Communication",Author,Creative Writing Scholarship,"Master's in Literature, >75% marks",https://scholarships.gov.in
77,Master'S,"Education, Psychology","Teaching, Empathy",Educator,Teaching Excellence Scholarship,"Master's in Education, >80% marks",https://studentaid.gov/understand-aid/types/grants/teach
78,Master'S,"Architecture, Design","Creativity, Problem Solving",Architect,Design Innovators Scholarship,"Master's in Architecture, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/design
79,Master'S,"Fashion, Design","Creativity, Communication",Fashion Designer,Fashion Excellence Scholarship,"Master's in Fashion Design, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/fashion
80,Master'S,"Philosophy, Ethics","Research, Critical Thinking",Philosopher,Philosophy Research Grant,"Master's in Philosophy, >75% marks",https://www.apaonline.org/page/grants
81,Phd,"Computer Science, Programming",Problem Solving,Software Engineer,Tech Innovators Scholarship,"PhD in CS, >80% marks",https://limeconnect.com/programs/page/google-lime-scholarship
82,Phd,"Civil Engineering, Design",Problem Solving,Civil Engineer,Civil Engineering Excellence Award,"PhD in Civil Eng, >75% marks",https://www.asce.org/education-and-careers/scholarships-awards/scholarships
83,Phd,"Mechanical Engineering, Innovation",Technical Skills,Mechanical Engineer,Innovators in Engineering Scholarship,"PhD in Mechanical Eng, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/engineering
84,Phd,"Physics, Math",Critical Thinking,Physicist,Young Scientist Award,"PhD in Physics, >85% marks",https://www.societyforscience.org/isef/
85,Phd,"Economics, Mathematics","Analytical Thinking, Research",Economist,Economics Research Grant,"PhD in Economics, >80% marks",https://www.aeaweb.org/about-aea/committees/cswep/funding-opportunities
86,Phd,"Data Science, Machine Learning",Data Analysis,Data Scientist,Data Science Excellence Award,"PhD in Data Science, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/data-science
87,Phd,"Psychology, Neuroscience","Empathy, Research",Psychologist,Mental Health Scholarship,"PhD in Psychology, >75% marks",https://www.baerreintegration.org/scholarship
88,Phd,"Law, Social Sciences","Leadership, Communication",Lawyer,Law Excellence Scholarship,"PhD in Law, >70% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/law
89,Phd,"Naval Architecture, Technical Skills",Leadership,Navy Officer,Naval Excellence Scholarship,"PhD in Naval Arch, >75% marks",https://www.netc.navy.mil/Commands/Naval-Service-Training-Command/NROTC/Scholarships/
90,Phd,"Aviation, Geography","Leadership, Physical Fitness",Pilot,Aviation Dream Scholarship,"PhD in Aviation, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/aviation
91,Phd,"History, Geography","Physical Fitness, Discipline",Army Officer,National Defense Scholarship,"PhD in History, >75% marks",https://www.goarmy.com/careers-and-jobs/find-your-path/army-officers/rotc/scholarships.html
92,Phd,"Environmental Science, Research",Problem Solving,Environmentalist,Green Future Scholarship,"PhD in Environmental Science, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/environmental-science
93,Phd,"Artificial Intelligence, Machine Learning",Programming,AI Engineer,AI Excellence Scholarship,"PhD in AI, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/artificial-intelligence
94,Phd,"Business, Economics","Leadership, Analytical Thinking",Business Analyst,Business Leaders Scholarship,"PhD in Business, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/business
95,Phd,"Marketing, Psychology","Creativity, Communication",Marketing Manager,Marketing Excellence Scholarship,"PhD in Marketing, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/marketing
96,Phd,"Literature, Writing","Creativity, Communication",Author,Creative Writing Scholarship,"PhD in Literature, >75% marks",https://scholarships.gov.in
97,Phd,"Education, Psychology","Teaching, Empathy",Educator,Teaching Excellence Scholarship,"PhD in Education, >80% marks",https://studentaid.gov/understand-aid/types/grants/teach
98,Phd,"Architecture, Design","Creativity, Problem Solving",Architect,Design Innovators Scholarship,"PhD in Architecture, >75% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/design
99,Phd,"Fashion, Design","Creativity, Communication",Fashion Designer,Fashion Excellence Scholarship,"PhD in Fashion Design, >80% marks",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/fashion
100,Phd,"Philosophy, Ethics","Research, Critical Thinking",Philosopher,Philosophy Research Grant,"PhD in Philosophy, >75% marks",https://www.apaonline.org/page/grants
